"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/16 7:18:00 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","2","Frequently","Almost all the time","Poor","Weight gain","Frequently","Moderate","Have lost interest","Frequently","Yes","No","Rarely","Yes","1-3 days","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","No","Used technology more mindfully","Social pressure to stay connected","Take short breaks from screens","4","Never","Yes","I prefer to cope alone"
"2023/10/16 11:56:08 PM GMT+6","I Agree","26","Male","Student","More than 6 hours","Computer/Laptop","Rarely","Rarely","Yes","Multiple times a day","1-2 hours","Yes","News and information","Relaxation","3","Occasionally","Rarely","Poor","No changes","Occasionally","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","1-3 days","Improving productivity","More Productive","Yes","Yes","No change","Boredom","Take short breaks from screens","3","Never","Yes","I prefer to cope alone"
"2023/10/17 12:00:08 AM GMT+6","I Agree","24","Male","Student","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Never","Good","Increased appetite","Never","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","No significant change","No","No","Used technology more mindfully","Boredom","Talk to friends or family about technology-related stress","3","Occasionally","Yes","I attend social events or gatherings"
"2023/10/17 12:19:39 AM GMT+6","I Agree","25","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","2","Frequently","Rarely","Good","Weight loss","Occasionally","Moderate","Still enjoy activities","Frequently","No","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Unplug from technology for a designated period","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 12:20:05 AM GMT+6","I Agree","25","Male","Employed (full-time)","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Korean Drama (""Moving"" on Disney+ was really good) ","Excitement","5","Not at all","Rarely","Fair","Weight loss","Rarely","Very High","Still enjoy activities","Occasionally","No","No","Rarely","Yes","More than a week","Improving productivity","No significant change","No","No","No change","Boredom","Engage in outdoor activities","3","Always","Yes","I don't need to cope for such silly things, stress is a myth "
"2023/10/17 12:21:31 AM GMT+6","I Agree","25","Male","Employed (full-time)","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","5-6 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Occasionally","Poor","Loss of appetite","Rarely","Moderate","Have lost interest","Almost all the time","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","1","Frequently","Yes","I prefer to cope alone"
"2023/10/17 12:22:47 AM GMT+6","I Agree","27","Male","Employed (full-time)","5-6 hours","Computer/Laptop","Occasionally","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Educational content","Joy","4","Occasionally","Rarely","Fair","Loss of appetite","Occasionally","Moderate","Still enjoy activities","Occasionally","No","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","Yes","I attend social events or gatherings"
"2023/10/17 12:48:18 AM GMT+6","I Agree","23","Female","Employed (full-time)","5-6 hours","Smartphone","Always","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Good","Increased appetite","Frequently","Very low","Still enjoy activities","Almost all the time","Yes","Yes","Rarely","No","Less than a day","Improving productivity","Anxious or stressed","Yes","Yes","No change","Boredom","Sleep ","2","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 1:02:30 AM GMT+6","I Agree","25","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Joy","4","Not at all","Never","Excellent","No changes","Never","Very low","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Never","Yes","I prefer to cope alone"
"2023/10/17 1:11:55 AM GMT+6","I Agree","24","Male","Student","5-6 hours","Computer/Laptop","Occasionally","Often","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Excitement","4","Occasionally","Rarely","Fair","No changes","Frequently","High","Still enjoy activities","Occasionally","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Occasionally","Yes","I participate in online communities or forums"
"2023/10/17 1:13:58 AM GMT+6","I Agree","24","Male","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Once a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Rarely","Poor","Weight gain","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","Yes","Almost daily","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","No change","None, it was easy and enjoyable","Unplug from technology for a designated period","4","Rarely","Yes","I seek support from friends or family"
"2023/10/17 1:14:58 AM GMT+6","I Agree","20","Male","Unemployed","More than 6 hours","Computer/Laptop","Always","Always","Yes","Rarely or never","Less than 1 hour","Yes","All of them ","Stress","5","Not at all","Rarely","Excellent","Weight loss","Occasionally","Very High","Still enjoy activities","Occasionally","Yes","No","Rarely","Yes","I have never practiced digital detox","Noticing negative effects on mental health","Anxious or stressed","Yes","Yes","No change","None, it was easy and enjoyable","Engage in outdoor activities","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 1:30:55 AM GMT+6","I Agree","100","Others","Employed (full-time)","More than 6 hours","Computer/Laptop","Often","Always","Yes","Once a week","1-2 hours","Yes","All of the above.","Anxiety","1","Almost all the time","Almost all the time","Very Poor","Weight loss","Almost all the time","Low","Still enjoy activities","Almost all the time","Yes","No","Frequently","Yes","Less than a day","Noticing negative effects on mental health","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Engage in outdoor activities","3","Frequently","Yes","2 and 3 option"
"2023/10/17 1:37:28 AM GMT+6","I Agree","26","Male","Employed (part-time)","5-6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Occasionally","Poor","Weight gain","Rarely","Low","Have lost interest","Occasionally","Yes","No","Rarely","Yes","1-3 days","Curiosity or personal experiment","No significant change","No","Yes","Used technology less","Boredom","Take short breaks from screens","2","Rarely","No","I prefer to cope alone"
"2023/10/17 3:12:16 AM GMT+6","I Agree","24","Male","Employed (full-time)","1-2 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","1-2 hours","Yes","Educational content","Relaxation","5","Not at all","Occasionally","Fair","Loss of appetite","Never","Very High","Still enjoy activities","Occasionally","Yes","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Engage in outdoor activities","4","Frequently","Yes","I attend social events or gatherings"
"2023/10/17 12:28:51 PM GMT+6","I Agree","22","Female","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Occasionally","Very Poor","Weight gain","Frequently","Low","Have lost interest","Frequently","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Unplug from technology for a designated period","3","Never","Yes","I prefer to cope alone"
"2023/10/17 1:21:41 PM GMT+6","I Agree","23","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","3","Frequently","Frequently","Fair","Weight gain","Occasionally","Low","Still enjoy activities","Frequently","Yes","Yes","Frequently","Yes","Less than a day","Feeling overwhelmed or stressed","No significant change","Yes","No","Used technology less","Social pressure to stay connected","Engage in outdoor activities","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/17 2:41:59 PM GMT+6","I Agree","24","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Always","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Stress","3","Almost all the time","Occasionally","Very Poor","No changes","Almost all the time","Moderate","Have lost interest","Frequently","Yes","Yes","Occasionally","Yes","4-7 days","Improving productivity","Relaxed and refreshed","Yes","No","Used technology more mindfully","Boredom","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 2:48:59 PM GMT+6","I Agree","24","Female","Employed (full-time)","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Stress","3","Almost all the time","Occasionally","Very Poor","No changes","Almost all the time","Moderate","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","More than a week","Improving productivity","No significant change","Yes","No","Used technology more mindfully","None, it was easy and enjoyable","Engage in outdoor activities","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 3:41:18 PM GMT+6","I Agree","24","Female","Employed (full-time)","More than 6 hours","Smartphone","Always","Never","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Fair","No changes","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","Boredom","Take short breaks from screens","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/17 4:01:10 PM GMT+6","I Agree","26","Male","Employed (full-time)","1-2 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","5","Not at all","Rarely","Fair","No changes","Rarely","High","Still enjoy activities","Occasionally","No","Yes","Almost daily","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","4","Always","Yes","I seek support from friends or family"
"2023/10/17 4:03:37 PM GMT+6","I Agree","24","Male","Student","5-6 hours","Computer/Laptop","Always","Occasionally","Yes","Once a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Occasionally","Fair","No changes","Never","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Busy hanging out with friends and family ","No significant change","No","Yes","Used technology less","None, it was easy and enjoyable","Engage in outdoor activities","3","Frequently","Yes","I prefer to cope alone"
"2023/10/17 5:08:38 PM GMT+6","I Agree","25","Male","Employed (full-time)","1-2 hours","Gaming","Occasionally","Never","Yes","Rarely or never","Less than 1 hour","Yes","Work-related content","Joy","5","Not at all","Rarely","Excellent","No changes","Never","Very High","Still enjoy activities","Occasionally","No","Yes","Frequently","No","I have never practiced digital detox","I don’t need social detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","I don’t get stress from technology ","1","Always","Yes","Hobbies"
"2023/10/17 7:37:28 PM GMT+6","I Agree","21","Female","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Excitement","2","Almost all the time","Frequently","Fair","Weight loss","Rarely","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","Yes","1-3 days","Noticing negative effects on mental health","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Never","No","I prefer to cope alone"
"2023/10/17 8:19:20 PM GMT+6","I Agree","21","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Stress","3","Frequently","Occasionally","Fair","Increased appetite","Frequently","Moderate","Have lost interest","Frequently","Yes","No","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","No significant change","Yes","Yes","No change","None, it was easy and enjoyable","Unplug from technology for a designated period","3","Rarely","Yes","I prefer to cope alone"
"2023/10/17 8:35:37 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","1","Almost all the time","Almost all the time","Good","Loss of appetite","Occasionally","Low","Have lost interest","Almost all the time","Yes","No","Occasionally","Yes","Less than a day","Noticing negative effects on mental health","Anxious or stressed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Rarely","Yes","I prefer to cope alone"
"2023/10/17 9:38:06 PM GMT+6","I Agree","14","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","4","Frequently","Frequently","Fair","Loss of appetite","Frequently","Moderate","Still enjoy activities","Frequently","No","Yes","Almost daily","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","5","Always","Yes","I seek support from friends or family"
"2023/10/17 9:55:35 PM GMT+6","I Agree","23","Male","Employed (full-time)","3-4 hours","Computer/Laptop","Occasionally","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Anxiety","3","Occasionally","Almost all the time","Very Poor","No changes","Occasionally","Moderate","Still enjoy activities","Frequently","No","Yes","Occasionally","Yes","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","4","Occasionally","No","I seek support from friends or family"
"2023/10/17 10:04:58 PM GMT+6","I Agree","27","Female","Employed (full-time)","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Joy","3","Occasionally","Occasionally","Very Poor","Weight gain","Frequently","Moderate","Still enjoy activities","Frequently","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","Difficulty staying disconnected","Talk to friends or family about technology-related stress","5","Frequently","Yes","I seek support from friends or family"
"2023/10/17 10:41:31 PM GMT+6","I Agree","21","Male","Student","3-4 hours","Smartphone","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","Work-related content","Relaxation","3","Occasionally","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","No","Almost daily","Yes","More than a week","Feeling overwhelmed or stressed","Relaxed and refreshed","No","No","Used technology less","Boredom","Take short breaks from screens","3","Always","Yes","I prefer to cope alone"
"2023/10/17 10:43:06 PM GMT+6","I Agree","24","Male","Student","5-6 hours","Computer/Laptop","Often","Always","Yes","Several times a week","Less than 1 hour","Yes","News and information","Stress","2","Frequently","Frequently","Fair","Weight gain","Rarely","High","Still enjoy activities","Rarely","Yes","No","Almost daily","Yes","More than a week","Improving productivity","No significant change","No","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","4","Always","Yes","I prefer to cope alone"
"2023/10/17 10:44:28 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Poor","Weight gain","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Occasionally","Yes","I seek support from friends or family"
"2023/10/17 10:45:00 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Occasionally","Occasionally","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","No","Used technology less","None, it was easy and enjoyable","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/17 10:47:13 PM GMT+6","I Agree","23","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","No","Entertainment (videos, movies, music)","Excitement","4","Occasionally","Rarely","Good","No changes","Never","Moderate","Still enjoy activities","Rarely","No","Yes","Rarely","Yes","More than a week","Curiosity or personal experiment","Relaxed and refreshed","No","Yes","Used technology less","Boredom","Talk to friends or family about technology-related stress","3","Frequently","Yes","I seek support from friends or family"
"2023/10/17 10:47:55 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","4","Occasionally","Frequently","Fair","No changes","Frequently","Moderate","Still enjoy activities","Frequently","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Occasionally","Yes","I attend social events or gatherings"
"2023/10/17 10:49:18 PM GMT+6","I Agree","23","Male","Student","1-2 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","1","Occasionally","Rarely","Very Poor","Weight loss","Frequently","Very High","Still enjoy activities","Frequently","No","Yes","Rarely","No","I have never practiced digital detox","Curiosity or personal experiment","Relaxed and refreshed","No","Yes","No change","Social pressure to stay connected","Set specific time limits for technology use","3","Rarely","No","I seek support from friends or family"
"2023/10/17 10:54:57 PM GMT+6","I Agree","24","Female","Student","More than 6 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Occasionally","Poor","Loss of appetite","Occasionally","Low","Have lost interest","Occasionally","No","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Never","Yes","I prefer to cope alone"
"2023/10/17 11:01:08 PM GMT+6","I Agree","24","Male","Unemployed","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Social media updates","Frustration","2","Almost all the time","Occasionally","Good","Loss of appetite","Rarely","Moderate","Have lost interest","Frequently","Yes","Yes","Almost daily","Yes","More than a week","Noticing negative effects on mental health","Relaxed and refreshed","No","Yes","No change","None, it was easy and enjoyable","Take short breaks from screens","3","Rarely","Yes","I prefer to cope alone"
"2023/10/17 11:01:49 PM GMT+6","I Agree","18","Male","Student","1-2 hours","Smartphone","Occasionally","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","5","Not at all","Never","Excellent","No changes","Never","Very low","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","1","Never","Yes","I prefer to cope alone"
"2023/10/17 11:08:01 PM GMT+6","I Agree","24","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","3","Occasionally","Almost all the time","Very Poor","No changes","Rarely","Moderate","Still enjoy activities","Frequently","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Never","No","I prefer to cope alone"
"2023/10/17 11:08:18 PM GMT+6","I Agree","17","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Poor","Loss of appetite","Occasionally","Low","Have lost interest","Frequently","Yes","No","Rarely","No","4-7 days","Noticing negative effects on mental health","No significant change","No","No","No change","Boredom","Unplug from technology for a designated period","2","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 11:08:19 PM GMT+6","I Agree","18","Male","Student","3-4 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Fair","No changes","Occasionally","Moderate","Still enjoy activities","Frequently","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","1","Never","No","I attend social events or gatherings"
"2023/10/17 11:10:17 PM GMT+6","I Agree","17","Male","Student","5-6 hours","Smartphone","Often","Rarely","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Frequently","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Rarely","Yes","I prefer to cope alone"
"2023/10/17 11:10:22 PM GMT+6","I Agree","18","Male","Student","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Relaxation","4","Occasionally","Occasionally","Poor","Loss of appetite","Rarely","High","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","No significant change","No","Yes","No change","Boredom","Take short breaks from screens","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/17 11:12:32 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Never","Yes","Several times a week","Less than 1 hour","Yes","News and information","Joy","5","Occasionally","Never","Excellent","No changes","Rarely","High","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","More than a week","Improving productivity","Relaxed and refreshed","No","Yes","Used technology less","None, it was easy and enjoyable","Take short breaks from screens","5","Rarely","Yes","I prefer to cope alone"
"2023/10/17 11:14:21 PM GMT+6","I Agree","18","Male","Student","3-4 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Excitement","3","Occasionally","Frequently","Fair","Weight loss","Never","Moderate","Still enjoy activities","Rarely","Yes","Yes","Rarely","Yes","Less than a day","Improving productivity","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Frequently","Yes","I prefer to cope alone"
"2023/10/17 11:20:08 PM GMT+6","I Agree","jani na ","Others","Retired","More than 6 hours","nokia 1210 ","Never","Never","No","Rarely or never","Less than 1 hour","No","dirty ones , where they spread dirt all around the country ","Stress","1","Almost all the time","Almost all the time","Very Poor","Loss of appetite","Almost all the time","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","No","More than a week","baal kicchu bujhtesi e na ki hoitese amar mathar upor diye jacche ei shob baal marka questions ","bhai khub e pera jibone kalke exam ar ami eikhane apnader form fill kortesi . abar kalke exam diteo haite jaite hobe karon bhara shob to ami khoroch kore felsi","No","No","eot ki bhai apnar amar jibon apnar eto proshno keno ","bhoy lage je amar imaginary girlfriend amare chaire choile jabe tai shara din phone thaki kintu kono laab hoyna karon keo message e dey na ","aro beshi kore phone chalai  ","1","Never","No","shob manush re gali dewa ar khali gaye rastay haata "
"2023/10/17 11:21:53 PM GMT+6","I Agree","19","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Excellent","Increased appetite","Rarely","Moderate","Still enjoy activities","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","4","Frequently","Yes","I prefer to cope alone"
"2023/10/17 11:22:25 PM GMT+6","I Agree","20","Male","Student","1-2 hours","Smartphone","Often","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Frustration","3","Occasionally","Rarely","Poor","No changes","Rarely","High","Still enjoy activities","Rarely","No","No","Rarely","Yes","Less than a day","Curiosity or personal experiment","No significant change","Yes","Yes","Used technology less","Social pressure to stay connected","Engage in outdoor activities","3","Always","Yes","I prefer to cope alone"
"2023/10/17 11:28:13 PM GMT+6","I Agree","18","Female","Student","5-6 hours","Smartphone","Occasionally","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Excitement","3","Frequently","Occasionally","Fair","Increased appetite","Occasionally","High","Still enjoy activities","Occasionally","No","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Set specific time limits for technology use","4","Frequently","Yes","I prefer to cope alone"
"2023/10/17 11:32:05 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Social media updates","Excitement","4","Not at all","Occasionally","Good","No changes","Rarely","Moderate","Still enjoy activities","Rarely","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
